2016,1215,Los Angeles,(4-9) (3-4 A),L-4,40.0,39.5,38%,46%,62%,Under: 27,Los Angeles
2016,1215,Seattle,(8-4) (6-0 H),L-1,-12.5,-15.5,62%,54%,38%,Cover: 5.5,Seattle
2016,1217,Miami,(8-5) (2-4 A),W-1,-3,-2.5,66%,52%,46%,Cover: 18.5,Miami
2016,1217,N.Y. Jets,(4-9) (1-5 H),W-1,41,39.5,34%,48%,54%,Over: 47,N.Y. Jets
2016,1218,Tampa Bay,(8-5) (5-1 A),W-5,46,47.5,54%,64%,56%,Cover: 1,Tampa Bay
2016,1218,Dallas,(11-2) (5-1 H),L-1,-8.5,-7,46%,36%,44%,Under: 46,Dallas
2016,1218,Detroit,(9-4) (3-3 A),W-5,44.0,42,49%,64%,53%,Under: 23,Detroit
2016,1218,N.Y. Giants,(9-4) (6-1 H),W-1,-5.5,-4,51%,36%,47%,Cover: 7,N.Y. Giants
2016,1218,Philadelphia,(5-8) (1-6 A),L-4,41.5,41,21%,23%,52%,Cover: 4,Philadelphia
2016,1218,Baltimore,(7-6) (5-2 H),L-1,-6,-5,79%,77%,48%,Over: 53,Baltimore
2016,1218,Green Bay,(7-6) (2-4 A),W-3,-4,-4.5,79%,72%,38%,Over: 57,Green Bay
2016,1218,Chicago,(3-10) (3-3 H),L-1,44,40,21%,28%,62%,Cover: 1.5,Chicago
2016,1218,Indianapolis,(6-7) (3-3 A),L-1,44.0,45,44%,58%,54%,Cover: 33,Indianapolis
2016,1218,Minnesota,(7-6) (4-2 H),W-1,-4,-5,56%,42%,46%,Under: 40,Minnesota
2016,1218,Cleveland,(0-13) (0-6 A),L-13,44.0,43,33%,25%,39%,Over: 46,Cleveland
2016,1218,Buffalo,(6-7) (3-3 H),L-2,-10,-10.5,67%,75%,61%,Cover: 9.5,Buffalo
2016,1218,Tennessee,(7-6) (3-3 A),W-2,44.0,43,42%,44%,43%,Cover: 8,Tennessee
2016,1218,Kansas City,(10-3) (5-1 H),W-3,-6,-6,58%,56%,57%,Under: 36,Kansas City
2016,1218,Jacksonville,(2-11) (1-5 A),L-8,41.0,39.5,27%,20%,66%,Cover: 2.5,Jacksonville
2016,1218,Houston,(7-6) (5-1 H),W-1,-5,-3.5,73%,80%,34%,Over: 41,Houston
2016,1218,New Orleans,(5-8) (2-4 A),L-2,50.0,48.5,35%,51%,73%,Cover: 10,New Orleans
2016,1218,Arizona,(5-7) (4-2 H),L-1,-2.5,-3,65%,49%,27%,Over: 89,Arizona
2016,1218,San Francisco,(1-12) (0-6 A),L-12,51.5,51.5,17%,25%,79%,Over: 54,San Francisco
2016,1218,Atlanta,(8-5) (3-3 H),W-1,-11.5,-14,83%,75%,21%,Cover: 14,Atlanta
2016,1218,New England,(11-2) (6-0 A),W-4,-3,-3,83%,64%,43%,Cover: 10,New England
2016,1218,Denver,(8-5) (4-2 H),L-1,44,43.5,17%,36%,57%,Under: 19,Denver
2016,1218,Oakland,(10-3) (5-1 A),L-1,-2.5,-2.5,75%,70%,78%,Cover: 0.5,Oakland
2016,1218,San Diego,(5-8) (3-3 H),L-2,51.0,50,25%,30%,22%,Under: 35,San Diego
2016,1218,Pittsburgh,(8-5) (4-3 A),W-4,-3,-3,72%,79%,56%,Cover: 1,Pittsburgh
2016,1218,Cincinnati,(5-7) (3-2 H),W-2,45.0,46,28%,21%,44%,Under: 44,Cincinnati
2016,1219,Carolina,(5-8) (1-5 A),W-1,51.0,50.5,41%,54%,67%,NaN,Carolina
2016,1219,Washington,(7-5) (4-2 H),W-1,-4,-7,59%,46%,33%,NaN,Washington
2016,1215,Los Angeles,(4-9) (3-4 A),L-4,40.0,39.5,38%,46%,62%,Under: 27,Los Angeles
2016,1215,Seattle,(8-4) (6-0 H),L-1,-12.5,-15.5,62%,54%,38%,Cover: 5.5,Seattle
2016,1217,Miami,(8-5) (2-4 A),W-1,-3,-2.5,66%,52%,46%,Cover: 18.5,Miami
2016,1217,N.Y. Jets,(4-9) (1-5 H),W-1,41,39.5,34%,48%,54%,Over: 47,N.Y. Jets
2016,1218,Tampa Bay,(8-5) (5-1 A),W-5,46,47.5,54%,64%,56%,Cover: 1,Tampa Bay
2016,1218,Dallas,(11-2) (5-1 H),L-1,-8.5,-7,46%,36%,44%,Under: 46,Dallas
2016,1218,Detroit,(9-4) (3-3 A),W-5,44.0,42,49%,64%,53%,Under: 23,Detroit
2016,1218,N.Y. Giants,(9-4) (6-1 H),W-1,-5.5,-4,51%,36%,47%,Cover: 7,N.Y. Giants
2016,1218,Philadelphia,(5-8) (1-6 A),L-4,41.5,41,21%,23%,52%,Cover: 4,Philadelphia
2016,1218,Baltimore,(7-6) (5-2 H),L-1,-6,-5,79%,77%,48%,Over: 53,Baltimore
2016,1218,Green Bay,(7-6) (2-4 A),W-3,-4,-4.5,79%,72%,38%,Over: 57,Green Bay
2016,1218,Chicago,(3-10) (3-3 H),L-1,44,40,21%,28%,62%,Cover: 1.5,Chicago
2016,1218,Indianapolis,(6-7) (3-3 A),L-1,44.0,45,44%,58%,54%,Cover: 33,Indianapolis
2016,1218,Minnesota,(7-6) (4-2 H),W-1,-4,-5,56%,42%,46%,Under: 40,Minnesota
2016,1218,Cleveland,(0-13) (0-6 A),L-13,44.0,43,33%,25%,39%,Over: 46,Cleveland
2016,1218,Buffalo,(6-7) (3-3 H),L-2,-10,-10.5,67%,75%,61%,Cover: 9.5,Buffalo
2016,1218,Tennessee,(7-6) (3-3 A),W-2,44.0,43,42%,44%,43%,Cover: 8,Tennessee
2016,1218,Kansas City,(10-3) (5-1 H),W-3,-6,-6,58%,56%,57%,Under: 36,Kansas City
2016,1218,Jacksonville,(2-11) (1-5 A),L-8,41.0,39.5,27%,20%,66%,Cover: 2.5,Jacksonville
2016,1218,Houston,(7-6) (5-1 H),W-1,-5,-3.5,73%,80%,34%,Over: 41,Houston
2016,1218,New Orleans,(5-8) (2-4 A),L-2,50.0,48.5,35%,51%,73%,Cover: 10,New Orleans
2016,1218,Arizona,(5-7) (4-2 H),L-1,-2.5,-3,65%,49%,27%,Over: 89,Arizona
2016,1218,San Francisco,(1-12) (0-6 A),L-12,51.5,51.5,17%,25%,79%,Over: 54,San Francisco
2016,1218,Atlanta,(8-5) (3-3 H),W-1,-11.5,-14,83%,75%,21%,Cover: 14,Atlanta
2016,1218,New England,(11-2) (6-0 A),W-4,-3,-3,83%,64%,43%,Cover: 10,New England
2016,1218,Denver,(8-5) (4-2 H),L-1,44,43.5,17%,36%,57%,Under: 19,Denver
2016,1218,Oakland,(10-3) (5-1 A),L-1,-2.5,-2.5,75%,70%,78%,Cover: 0.5,Oakland
2016,1218,San Diego,(5-8) (3-3 H),L-2,51.0,50,25%,30%,22%,Under: 35,San Diego
2016,1218,Pittsburgh,(8-5) (4-3 A),W-4,-3,-3,72%,79%,56%,Cover: 1,Pittsburgh
2016,1218,Cincinnati,(5-7) (3-2 H),W-2,45.0,46,28%,21%,44%,Under: 44,Cincinnati
2016,1219,Carolina,(5-8) (1-5 A),W-1,51.0,50.5,41%,54%,67%,NaN,Carolina
2016,1219,Washington,(7-5) (4-2 H),W-1,-4,-7,59%,46%,33%,NaN,Washington
